latlon,planning_area_id
52.479795_13.4316429,08100206
52.5503783_13.3855181,01300733
52.3865167_13.4053429,07601544
52.4843774_13.35343,07200410
52.4895162_13.389023,02200211
52.4895667_13.3887423,02200211
52.5320442_13.4363923,03701660
52.5341836_13.4323146,03701660
52.5365685_13.437174,03601451
52.5526942_13.3485338,01400939
52.5527133_13.3484857,01400939
52.5248676_13.3042662,04300518
52.5316133_13.4294915,03701660
52.5295845_13.3856801,01100415
52.5078826_13.4501049,02400624
52.5175085_13.4616826,02500728
52.5174979_13.4616864,02500728
52.5162367_13.4610014,02500728
52.5073813_13.3222925,04300624
52.4869003_13.3386993,07200307
52.4380458_13.5536739,09200717
52.5348333_13.4336767,03701660
52.5345859_13.4438868,03601451
52.5333836_13.4289958,03701658
52.5334109_13.4290263,03701658
52.4752709_13.4471135,08100416
52.4885072_13.4095434,08100101
52.4850704_13.4240453,08100101
52.4567709_13.4376068,08200623
52.5010582_13.4081697,02100105
52.5429789_13.4416837,03601449
52.542428_13.4415207,03601449
52.5420457_13.4410762,03601449
52.5420017_13.4410942,03601449
52.4906648_13.4180705,02200213
52.4776436_13.4255998,08100102
52.4746185_13.4206508,08100103
52.4740532_13.4242092,08100103
52.4765864_13.4200806,08100102
52.4755833_13.4237875,08100103
52.5447282_13.4189288,03601347
52.5161983_13.4785868,11300722
52.630761_13.2866925,12400720
52.4792922_13.4257949,08100206
52.4776325_13.4380277,08100207
52.4774322_13.438193,08100207
52.4772511_13.4385338,08100207
52.477271_13.4384535,08100207
52.4772813_13.4385166,08100207
52.4778472_13.4380919,08100207
52.4779_13.4380467,08100207
52.4780291_13.4379548,08100207
52.4888794_13.394763,02200211
52.5013651_13.310485,04501040
52.4651335_13.4356284,08100209
52.4707567_13.3267348,07300516
52.4907476_13.5273471,11501339
52.4774_13.4318039,08100207
52.4852545_13.4301666,08100314
52.5212983_13.2793689,04200308
52.4891837_13.3884668,02200211
52.4894787_13.3885776,02200211
52.4763154_13.3265737,07300515
52.4758478_13.3365151,07300517
52.4990243_13.2901861,04500937
52.498424_13.2901792,04500937
52.4789021_13.3247264,04501151
52.4789086_13.3226831,04501151
52.4733862_13.3275253,07300515
52.4762371_13.3272693,07300515
52.5483595_13.3561243,01401048
52.4763171_13.3292201,07300517
52.4758725_13.3276818,07300515
52.4978578_13.5098054,11401136
52.4666678_13.5854026,09502042
52.4752449_13.3288062,07300517
52.4704312_13.3351151,07300618
52.4740063_13.3378612,07300517
52.4742994_13.3382267,07300517
52.4745744_13.3386317,07300517
52.4757707_13.3388156,07300517
52.5190608_13.1975068,05200630
52.5554522_13.3425459,01400937
52.4976648_13.2905759,04500937
52.4976101_13.2906107,04500937
52.4762802_13.3387579,07300517
52.4754598_13.335549,07300517
52.4884879_13.425211,08100311
52.4885399_13.4251777,08100311
52.4885919_13.4251444,08100311
52.4757709_13.3386646,07300517
52.4746724_13.3394793,07300618
52.4726594_13.3292611,07300517
52.4812796_13.3286969,04501151
52.4796939_13.3274551,04501151
52.4717951_13.3275603,07300515
52.4596874_13.3830802,07400824
52.5101335_13.4501451,02400624
52.4815835_13.3245632,04501151
52.4712389_13.3346305,07300517
52.4716711_13.3335045,07300517
52.4660223_13.3299049,07300618
52.4959062_13.2967747,04500938
52.4958528_13.2972179,04500938
52.4795733_13.327625,04501151
52.4783818_13.3279004,04501151
52.5040086_13.452399,02500835
52.5442115_13.4263652,03601348
52.4800904_13.4255376,08100206
52.4979572_13.2895786,04500937
52.5855737_13.3670807,03400619
52.5858924_13.3619825,03400619
52.469436_13.3357146,07300618
52.4723427_13.3266466,07300515
52.5739854_13.3593394,12100103
52.4819075_13.3281684,04501151
52.4815557_13.328664,04501151
52.4819659_13.3219841,04501151
52.4815387_13.3288914,04501151
52.4815212_13.3288711,04501151
52.4801836_13.327858,04501151
52.4800823_13.3277264,04501151
52.4813093_13.3287174,04501151
52.4660181_13.3299364,07300618
52.4615002_13.3258394,06100103
52.4614723_13.3258406,06100103
52.4615061_13.3257313,06100103
