id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
03400827,2793,951,100,38,185,51,61,185,57,53,31,83,121,17,9,388,126,142,24,564,128,34,208,20,77,56,104,46,100.0,34.049409237379166,3.580379520229144,1.3605442176870748,6.623702112423917,1.8259935553168638,2.184031507339778,6.623702112423917,2.0408163265306123,1.8976011457214466,1.1099176512710347,2.9717150017901894,4.3322592194772644,0.6086645184389545,0.322234156820623,13.89187253848908,4.511278195488721,5.084138918725385,0.8592910848549946,20.193340494092375,4.582885785893305,1.217329036877909,7.447189402076621,0.7160759040458289,2.756892230576441,2.0050125313283207,3.7235947010383104,1.6469745793054065
03400828,1530,493,44,24,91,27,40,90,16,19,16,30,87,3,24,263,121,99,9,268,55,37,102,3,19,28,41,22,100.0,32.22222222222222,2.8758169934640523,1.5686274509803921,5.947712418300653,1.7647058823529411,2.6143790849673203,5.88235294117647,1.045751633986928,1.2418300653594772,1.045751633986928,1.9607843137254901,5.686274509803922,0.19607843137254902,1.5686274509803921,17.18954248366013,7.908496732026143,6.470588235294119,0.5882352941176471,17.516339869281044,3.594771241830065,2.4183006535947715,6.666666666666667,0.19607843137254902,1.2418300653594772,1.8300653594771243,2.679738562091503,1.4379084967320261
03400829,1571,451,40,22,46,21,28,127,29,41,10,31,46,6,12,278,116,99,9,371,52,15,132,19,35,51,30,24,100.0,28.70782940802037,2.546148949713558,1.4003819223424572,2.928071292170592,1.336728198599618,1.782304264799491,8.084022915340547,1.8459579885423298,2.609802673456397,0.6365372374283895,1.9732654360280075,2.928071292170592,0.3819223424570337,0.7638446849140674,17.69573520050923,7.383831954169319,6.301718650541057,0.5728835136855506,23.61553150859325,3.3099936346276255,0.9548058561425843,8.402291534054743,1.20942075111394,2.2278803309993633,3.2463399108847866,1.9096117122851686,1.5276893698281349
03400830,2025,706,42,15,68,38,36,184,67,41,20,27,126,27,40,319,82,124,24,549,70,36,205,14,65,27,42,40,100.0,34.864197530864196,2.074074074074074,0.7407407407407408,3.3580246913580245,1.876543209876543,1.7777777777777777,9.08641975308642,3.308641975308642,2.0246913580246915,0.9876543209876543,1.3333333333333335,6.222222222222222,1.3333333333333335,1.9753086419753085,15.753086419753087,4.049382716049383,6.123456790123457,1.1851851851851851,27.111111111111114,3.45679012345679,1.7777777777777777,10.123456790123457,0.6913580246913581,3.2098765432098766,1.3333333333333335,2.074074074074074,1.9753086419753085
03400831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03500932,2295,377,28,9,63,15,33,93,15,22,15,22,82,24,13,450,154,125,13,992,210,59,324,0,156,60,25,21,100.0,16.427015250544663,1.2200435729847494,0.39215686274509803,2.7450980392156863,0.6535947712418301,1.4379084967320261,4.052287581699346,0.6535947712418301,0.9586056644880174,0.6535947712418301,0.9586056644880174,3.5729847494553377,1.045751633986928,0.5664488017429194,19.607843137254903,6.710239651416122,5.446623093681917,0.5664488017429194,43.22440087145969,9.15032679738562,2.5708061002178653,14.117647058823529,0.0,6.7973856209150325,2.6143790849673203,1.0893246187363834,0.9150326797385622
03500933,1824,636,55,23,64,32,46,162,64,30,15,41,52,6,19,332,124,104,13,310,70,20,109,3,46,50,57,21,100.0,34.868421052631575,3.0153508771929824,1.2609649122807016,3.508771929824561,1.7543859649122806,2.5219298245614032,8.881578947368421,3.508771929824561,1.644736842105263,0.8223684210526315,2.2478070175438596,2.850877192982456,0.3289473684210526,1.0416666666666665,18.201754385964914,6.798245614035088,5.701754385964912,0.712719298245614,16.99561403508772,3.8377192982456143,1.0964912280701753,5.975877192982456,0.1644736842105263,2.5219298245614032,2.7412280701754383,3.125,1.151315789473684
03500934,3480,1314,108,40,247,81,59,276,103,74,23,91,132,22,53,577,240,201,16,534,91,49,216,0,93,103,115,71,100.0,37.75862068965517,3.103448275862069,1.1494252873563218,7.097701149425287,2.327586206896552,1.6954022988505748,7.931034482758621,2.959770114942529,2.1264367816091956,0.6609195402298851,2.6149425287356323,3.793103448275862,0.632183908045977,1.5229885057471264,16.580459770114942,6.896551724137931,5.775862068965517,0.45977011494252873,15.344827586206897,2.6149425287356323,1.4080459770114941,6.206896551724138,0.0,2.6724137931034484,2.959770114942529,3.3045977011494254,2.0402298850574714
03500935,2165,708,76,26,110,35,62,146,64,19,32,60,153,18,50,323,131,110,12,431,111,32,186,15,62,69,66,28,100.0,32.70207852193995,3.510392609699769,1.2009237875288685,5.080831408775981,1.6166281755196306,2.863741339491917,6.743648960739031,2.956120092378753,0.8775981524249422,1.4780600461893765,2.771362586605081,7.066974595842956,0.8314087759815243,2.3094688221709005,14.919168591224018,6.05080831408776,5.080831408775981,0.5542725173210161,19.907621247113163,5.1270207852194,1.4780600461893765,8.59122401847575,0.6928406466512702,2.863741339491917,3.1870669745958433,3.048498845265589,1.2933025404157044
03500936,2717,865,71,33,120,45,41,162,92,90,19,51,156,51,59,444,145,137,40,575,89,27,260,19,141,117,63,56,100.0,31.836584468163416,2.6131762973868233,1.214574898785425,4.416635995583364,1.6562384983437615,1.5090172984909827,5.962458594037542,3.386087596613913,3.312476996687523,0.6993006993006993,1.8770702981229297,5.741626794258373,1.8770702981229297,2.1715126978284873,16.341553183658448,5.336768494663231,5.042326094957674,1.4722119985277882,21.16304747883695,3.2756716967243285,0.9937430990062569,9.569377990430622,0.6993006993006993,5.189547294810453,4.30622009569378,2.318733897681266,2.0610967979389034
